"Enable Guestbook","Enable Guestbook"
"Enable ReCaptcha","Enable reCaptcha"
"Guestbook","Guestbook"
"Guestbook Options","Guestbook options"
"Private Key","Private key"
"Private Key for ReCaptcha","Private key for reCaptcha"
"Public Key","Public key"
"Public Key for ReCaptcha","Public key for reCaptcha"
"ReCaptcha Options","reCaptcha options"
"Unable to submit your request. Please, make sure you typed all correctly, or try again later","Unable to submit your request. Please, make sure you typed all correctly, or try again later"
"Unable to submit your request. Please, try again later","Unable to submit your request. Please, try again later"
